flight_id,source_airport,destination_airport,distance,duration,aircraft_type,airline
FL1000,JFK,LAX,4017.7,313,Boeing 787-8,American Airlines
FL1001,JFK,LAX,4017.7,313,Airbus A330-300,Qantas
FL1002,JFK,LAX,4017.7,313,Boeing 787-8,British Airways
FL1003,JFK,ORD,1189.4,148,Boeing 737-800,United Airlines
FL1004,JFK,ORD,1189.4,148,Boeing 737-800,KLM
FL1005,JFK,ORD,1189.4,148,Airbus A320neo,All Nippon Airways
FL1006,JFK,DFW,2243.7,188,Boeing 737 MAX 8,Lufthansa
FL1007,JFK,DFW,2243.7,188,Airbus A320neo,Air France
FL1008,JFK,DFW,2243.7,188,Boeing 737-800,Qatar Airways
FL1009,JFK,LHR,5784.7,438,Boeing 787-9,Etihad Airways
FL1010,JFK,LHR,5784.7,438,Airbus A350-900,Lufthansa
FL1011,JFK,LHR,5784.7,438,Boeing 787-9,Singapore Airlines
FL1012,JFK,CDG,6091.0,459,Boeing 777-300ER,Air Canada
FL1013,JFK,CDG,6091.0,459,Boeing 777-300ER,Etihad Airways
FL1014,JFK,CDG,6091.0,459,Boeing 787-9,Air France
FL1015,JFK,FRA,6519.9,490,Airbus A350-900,Etihad Airways
FL1016,JFK,FRA,6519.9,490,Airbus A380-800,United Airlines
FL1017,JFK,FRA,6519.9,490,Airbus A380-800,Japan Airlines
FL1018,JFK,AMS,6161.5,464,Boeing 777-300ER,KLM
FL1019,JFK,AMS,6161.5,464,Airbus A380-800,Japan Airlines
FL1020,JFK,AMS,6161.5,464,Boeing 787-9,KLM
FL1021,JFK,NRT,18721.1,1351,Airbus A380-800,Singapore Airlines
FL1022,JFK,NRT,18721.1,1351,Boeing 777-300ER,Turkish Airlines
FL1023,JFK,NRT,18721.1,1351,Boeing 787-9,Turkish Airlines
FL1024,JFK,PEK,16130.9,1168,Airbus A350-900,Etihad Airways
FL1025,JFK,PEK,16130.9,1168,Boeing 787-9,Qantas
FL1026,JFK,PEK,16130.9,1168,Boeing 787-9,Japan Airlines
FL1027,JFK,SIN,18963.6,1368,Airbus A350-900,KLM
FL1028,JFK,SIN,18963.6,1368,Boeing 787-9,British Airways
FL1029,JFK,SIN,18963.6,1368,Boeing 777-300ER,Japan Airlines
FL1030,JFK,DXB,12171.5,889,Boeing 777-300ER,Qatar Airways
FL1031,JFK,DXB,12171.5,889,Airbus A350-900,Delta Air Lines
FL1032,JFK,DXB,12171.5,889,Airbus A350-900,Qatar Airways
FL1033,LAX,JFK,4017.7,313,Boeing 767-300,American Airlines
FL1034,LAX,JFK,4017.7,313,Airbus A330-300,Japan Airlines
FL1035,LAX,JFK,4017.7,313,Boeing 767-300,Lufthansa
FL1036,LAX,ORD,2819.3,229,Airbus A320neo,KLM
FL1037,LAX,ORD,2819.3,229,Airbus A320neo,Air Canada
FL1038,LAX,ORD,2819.3,229,Boeing 737-800,Etihad Airways
FL1039,LAX,DFW,1986.5,228,Airbus A320neo,Southwest Airlines
FL1040,LAX,DFW,1986.5,228,Airbus A320neo,Lufthansa
FL1041,LAX,DFW,1986.5,228,Airbus A320neo,Qatar Airways
FL1042,LAX,LHR,9833.2,724,Boeing 777-300ER,United Airlines
FL1043,LAX,LHR,9833.2,724,Airbus A380-800,Air France
FL1044,LAX,LHR,9833.2,724,Boeing 787-9,Turkish Airlines
FL1045,LAX,CDG,10215.3,751,Airbus A350-900,British Airways
FL1046,LAX,CDG,10215.3,751,Boeing 787-9,American Airlines
FL1047,LAX,CDG,10215.3,751,Boeing 787-9,Delta Air Lines
FL1048,LAX,FRA,10645.2,781,Boeing 777-300ER,Lufthansa
FL1049,LAX,FRA,10645.2,781,Airbus A350-900,Turkish Airlines
FL1050,LAX,FRA,10645.2,781,Airbus A350-900,Etihad Airways
FL1051,LAX,AMS,10210.4,750,Boeing 787-9,Etihad Airways
FL1052,LAX,AMS,10210.4,750,Airbus A380-800,Qatar Airways
FL1053,LAX,AMS,10210.4,750,Airbus A380-800,Etihad Airways
FL1054,LAX,NRT,23615.0,1696,Airbus A380-800,Qatar Airways
FL1055,LAX,NRT,23615.0,1696,Airbus A350-900,Southwest Airlines
FL1056,LAX,NRT,23615.0,1696,Boeing 777-300ER,American Airlines
FL1057,LAX,PEK,20878.1,1503,Boeing 777-300ER,Air Canada
FL1058,LAX,PEK,20878.1,1503,Boeing 787-9,Etihad Airways
FL1059,LAX,PEK,20878.1,1503,Airbus A380-800,Qantas
FL1060,LAX,SIN,23841.9,1712,Boeing 787-9,Qatar Airways
FL1061,LAX,SIN,23841.9,1712,Airbus A350-900,Japan Airlines
FL1062,LAX,SIN,23841.9,1712,Boeing 787-9,Etihad Airways
FL1063,LAX,DXB,16829.2,1217,Boeing 787-9,Qatar Airways
FL1064,LAX,DXB,16829.2,1217,Airbus A350-900,American Airlines
FL1065,LAX,DXB,16829.2,1217,Boeing 787-9,American Airlines
FL1066,ORD,JFK,1189.4,148,Boeing 737-800,Emirates
FL1067,ORD,JFK,1189.4,148,Boeing 737 MAX 8,Air France
FL1068,ORD,JFK,1189.4,148,Boeing 737-800,Turkish Airlines
FL1069,ORD,LAX,2819.3,229,Boeing 737 MAX 8,KLM
FL1070,ORD,LAX,2819.3,229,Boeing 737-800,Japan Airlines
FL1071,ORD,LAX,2819.3,229,Boeing 737 MAX 8,Air France
FL1072,ORD,DFW,1291.6,159,Boeing 737 MAX 8,Japan Airlines
FL1073,ORD,DFW,1291.6,159,Boeing 737-800,Turkish Airlines
FL1074,ORD,DFW,1291.6,159,Airbus A320neo,KLM
FL1075,ORD,LHR,6749.5,506,Boeing 787-9,Cathay Pacific
FL1076,ORD,LHR,6749.5,506,Airbus A350-900,Japan Airlines
FL1077,ORD,LHR,6749.5,506,Airbus A380-800,Southwest Airlines
FL1078,ORD,CDG,7094.1,530,Airbus A350-900,Etihad Airways
FL1079,ORD,CDG,7094.1,530,Boeing 787-9,Air France
FL1080,ORD,CDG,7094.1,530,Boeing 777-300ER,American Airlines
FL1081,ORD,FRA,7504.5,559,Airbus A350-900,All Nippon Airways
FL1082,ORD,FRA,7504.5,559,Boeing 777-300ER,Emirates
FL1083,ORD,FRA,7504.5,559,Boeing 787-9,Southwest Airlines
FL1084,ORD,AMS,7110.3,531,Airbus A350-900,All Nippon Airways
FL1085,ORD,AMS,7110.3,531,Airbus A350-900,Delta Air Lines
FL1086,ORD,AMS,7110.3,531,Airbus A380-800,American Airlines
FL1087,ORD,NRT,19775.9,1425,Boeing 777-300ER,Etihad Airways
FL1088,ORD,NRT,19775.9,1425,Airbus A380-800,Cathay Pacific
FL1089,ORD,NRT,19775.9,1425,Airbus A350-900,Japan Airlines
FL1090,ORD,PEK,17156.7,1241,Airbus A350-900,American Airlines
FL1091,ORD,PEK,17156.7,1241,Boeing 777-300ER,KLM
FL1092,ORD,PEK,17156.7,1241,Boeing 777-300ER,All Nippon Airways
FL1093,ORD,SIN,20337.9,1465,Airbus A380-800,Singapore Airlines
FL1094,ORD,SIN,20337.9,1465,Boeing 777-300ER,Air Canada
FL1095,ORD,SIN,20337.9,1465,Airbus A350-900,Air France
FL1096,ORD,DXB,13397.0,975,Boeing 787-9,Air Canada
FL1097,ORD,DXB,13397.0,975,Boeing 777-300ER,Qatar Airways
FL1098,ORD,DXB,13397.0,975,Boeing 787-9,Etihad Airways
FL1099,DFW,JFK,2243.7,188,Boeing 737 MAX 8,Air Canada
FL1100,DFW,JFK,2243.7,188,Boeing 737 MAX 8,American Airlines
FL1101,DFW,JFK,2243.7,188,Airbus A320neo,British Airways
FL1102,DFW,LAX,1986.5,228,Airbus A320neo,KLM
FL1103,DFW,LAX,1986.5,228,Boeing 737-800,British Airways
FL1104,DFW,LAX,1986.5,228,Boeing 737-800,Singapore Airlines
FL1105,DFW,ORD,1291.6,159,Boeing 737-800,British Airways
FL1106,DFW,ORD,1291.6,159,Boeing 737-800,Lufthansa
FL1107,DFW,ORD,1291.6,159,Boeing 737 MAX 8,Lufthansa
