flight_id,source_airport,destination_airport,distance,duration,aircraft_type,airline
FL1000,JFK,LAX,4017.7,313,Boeing 787-8,Delta Air Lines
FL1001,JFK,LAX,4017.7,313,Boeing 767-300,Emirates
FL1002,JFK,LAX,4017.7,313,Boeing 787-8,Delta Air Lines
FL1003,JFK,ORD,1189.4,148,Airbus A320neo,Turkish Airlines
FL1004,JFK,ORD,1189.4,148,Boeing 737-800,Delta Air Lines
FL1005,JFK,ORD,1189.4,148,Boeing 737 MAX 8,Emirates
FL1006,JFK,DFW,2243.7,188,Boeing 737 MAX 8,Japan Airlines
FL1007,JFK,DFW,2243.7,188,Boeing 737-800,American Airlines
FL1008,JFK,DFW,2243.7,188,Boeing 737-800,Singapore Airlines
FL1009,JFK,LHR,5784.7,438,Airbus A350-900,Qantas
FL1010,JFK,LHR,5784.7,438,Boeing 777-300ER,Air France
FL1011,JFK,LHR,5784.7,438,Airbus A350-900,Southwest Airlines
FL1012,JFK,CDG,6091.0,459,Boeing 777-300ER,Cathay Pacific
FL1013,JFK,CDG,6091.0,459,Airbus A350-900,Singapore Airlines
FL1014,JFK,CDG,6091.0,459,Boeing 787-9,Qantas
FL1015,JFK,FRA,6519.9,490,Airbus A380-800,Qatar Airways
FL1016,JFK,FRA,6519.9,490,Airbus A380-800,Delta Air Lines
FL1017,JFK,FRA,6519.9,490,Airbus A380-800,Air Canada
FL1018,JFK,AMS,6161.5,464,Boeing 777-300ER,Japan Airlines
FL1019,JFK,AMS,6161.5,464,Boeing 777-300ER,Singapore Airlines
FL1020,JFK,AMS,6161.5,464,Airbus A380-800,Southwest Airlines
FL1021,JFK,NRT,18721.1,1351,Airbus A380-800,Singapore Airlines
FL1022,JFK,NRT,18721.1,1351,Boeing 787-9,Air France
FL1023,JFK,NRT,18721.1,1351,Boeing 787-9,Qatar Airways
FL1024,JFK,PEK,16130.9,1168,Airbus A380-800,Air Canada
FL1025,JFK,PEK,16130.9,1168,Boeing 787-9,Southwest Airlines
FL1026,JFK,PEK,16130.9,1168,Airbus A350-900,British Airways
FL1027,JFK,SIN,18963.6,1368,Airbus A350-900,Qantas
FL1028,JFK,SIN,18963.6,1368,Airbus A380-800,Etihad Airways
FL1029,JFK,SIN,18963.6,1368,Airbus A350-900,Emirates
FL1030,JFK,DXB,12171.5,889,Boeing 777-300ER,Air France
FL1031,JFK,DXB,12171.5,889,Airbus A380-800,Delta Air Lines
FL1032,JFK,DXB,12171.5,889,Boeing 777-300ER,British Airways
FL1033,LAX,JFK,4017.7,313,Boeing 787-8,KLM
FL1034,LAX,JFK,4017.7,313,Airbus A330-300,Air France
FL1035,LAX,JFK,4017.7,313,Airbus A330-300,Southwest Airlines
FL1036,LAX,ORD,2819.3,229,Airbus A320neo,British Airways
FL1037,LAX,ORD,2819.3,229,Boeing 737-800,Etihad Airways
FL1038,LAX,ORD,2819.3,229,Airbus A320neo,Japan Airlines
FL1039,LAX,DFW,1986.5,228,Boeing 737-800,Delta Air Lines
FL1040,LAX,DFW,1986.5,228,Airbus A320neo,Emirates
FL1041,LAX,DFW,1986.5,228,Boeing 737 MAX 8,KLM
FL1042,LAX,LHR,9833.2,724,Airbus A380-800,Singapore Airlines
FL1043,LAX,LHR,9833.2,724,Airbus A380-800,Turkish Airlines
FL1044,LAX,LHR,9833.2,724,Airbus A350-900,Emirates
FL1045,LAX,CDG,10215.3,751,Boeing 777-300ER,Air Canada
FL1046,LAX,CDG,10215.3,751,Airbus A350-900,American Airlines
FL1047,LAX,CDG,10215.3,751,Airbus A380-800,Southwest Airlines
FL1048,LAX,FRA,10645.2,781,Boeing 777-300ER,Singapore Airlines
FL1049,LAX,FRA,10645.2,781,Boeing 777-300ER,Air Canada
FL1050,LAX,FRA,10645.2,781,Airbus A380-800,KLM
FL1051,LAX,AMS,10210.4,750,Airbus A350-900,British Airways
FL1052,LAX,AMS,10210.4,750,Boeing 787-9,Southwest Airlines
FL1053,LAX,AMS,10210.4,750,Airbus A380-800,American Airlines
FL1054,LAX,NRT,23615.0,1696,Boeing 787-9,Etihad Airways
FL1055,LAX,NRT,23615.0,1696,Airbus A350-900,United Airlines
FL1056,LAX,NRT,23615.0,1696,Boeing 787-9,United Airlines
FL1057,LAX,PEK,20878.1,1503,Boeing 777-300ER,Japan Airlines
FL1058,LAX,PEK,20878.1,1503,Airbus A350-900,Singapore Airlines
FL1059,LAX,PEK,20878.1,1503,Airbus A380-800,All Nippon Airways
